URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/article/how-to-clean.html,270721,43,text/html
https://www.nytimes.com/by/ruth-fremson,765095,55,text/html
https://www.nytimes.com/2023/09/29/us/feinstein-san-francisco.html,185313,43,text/html
https://www.nytimes.com/2023/09/26/podcasts/the-daily/senator-menendez-corruption.html,427327,87,text/html
https://www.nytimes.com/2023/09/27/arts/design/new-york-french-artists-villa-albertine.html,251387,44,text/html
https://www.nytimes.com/2023/09/29/us/georgia-trump-scott-hall-guilty-plea.html,222065,50,text/html
https://www.nytimes.com/2023/09/25/opinion/us-child-poverty.html,234489,80,text/html
https://www.nytimes.com/2023/09/30/us/politics/jamaal-bowman-fire-alarm-house.html,193714,46,text/html
https://www.nytimes.com/2023/09/27/world/middleeast/iraq-wedding-hall-fire.html,254182,41,text/html
https://www.nytimes.com/interactive/2023/09/29/upshot/flashback.html,133657,38,text/html
https://www.nytimes.com/es/2023/09/29/espanol/nicaragua-ortega-casas.html,230220,46,text/html
https://www.nytimes.com/2023/09/29/world/europe/ajax-feyenoord-soccer.html,245649,50,text/html
https://www.nytimes.com/2023/09/30/arts/music/bradley-cooper-maestro-learning-to-conduct.html,281157,72,text/html
https://www.nytimes.com/2023/09/30/business/the-harvard-professor-and-the-bloggers.html,303727,71,text/html
https://www.nytimes.com/2023/09/26/books/review/mohamed-mbougar-sarr-most-secret-memory-of-men.html,210720,51,text/html
https://www.nytimes.com/2023/09/26/podcasts/headlines-nyt-audio-app.html,253922,77,text/html
https://www.nytimes.com/2023/09/28/world/middleeast/israel-yom-kippur-protests.html,231357,54,text/html
https://www.nytimes.com/2023/09/26/nyregion/wael-hana-arrested-menendez.html,195280,45,text/html
https://www.nytimes.com/2023/09/28/us/politics/trump-documents-justice-department.html,214174,49,text/html
https://www.nytimes.com/2023/09/30/pageoneplus/quotation-of-the-day-no-pilgrimages-to-her-gravesite.html,153813,37,text/html
https://www.nytimes.com/sitemap/1928/08/,82591,64,text/html
https://www.nytimes.com/sitemap/1928/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1928/11/,82300,63,text/html
https://www.nytimes.com/sitemap/1928/01/,82622,64,text/html
https://www.nytimes.com/sitemap/1928/03/,82554,64,text/html
https://www.nytimes.com/sitemap/1928/05/,82474,64,text/html
https://www.nytimes.com/sitemap/1928/07/,82517,64,text/html
https://www.nytimes.com/sitemap/1928/09/,82335,63,text/html
https://www.nytimes.com/sitemap/1976/09/,82335,63,text/html
https://www.nytimes.com/sitemap/1976/10/,82623,64,text/html
